dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
german,lr,baseline,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.8303249097472925,-0.3258609486679662,-0.27349768875192604,0.5637233579817311,0.00504339998587966,0.05050003528594971,0.15854998491704464,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.75,0.8214285714285714,-0.21442495126705652,-0.2195685670261942,0.7105263157894737,0.004211599938571453,0.05345011595636606,0.1265000319108367,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.77,0.8357142857142857,-0.27940220922677067,-0.2904468412942989,0.628990509059534,0.022683299845084548,1.1859500082209706,2.5758000556379557,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.68,0.751937984496124,-0.2085769980506823,-0.12095531587057007,0.6687306501547987,0.0681467002723366,0.1508499262854457,0.28170004952698946,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.76,0.8410596026490066,-0.1228070175438597,-0.15947611710323573,0.8526315789473684,0.11460410011932254,2.314849989488721,4.4652000069618225,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.81,0.875,-0.005198180636777128,0.05932203389830504,0.9936683814800158,0.14335889997892082,2.395499963313341,3.6242998903617263,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.842809364548495,-0.1692657569850552,-0.09707241910631736,0.7953652788688139,0.11173090012744069,3.1536000315099955,5.947700003162026,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.705,0.8090614886731392,-0.16601689408706954,-0.1425269645608629,0.8106004447739066,0.10198049969039857,2.177150105126202,4.659099970012903,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,123,123,123,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8316151202749141,-0.15237166991552964,-0.1086286594761171,0.8056361375880645,0.008040300104767084,0.04409998655319214,0.12684997636824846,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,123,123,123,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.74,0.821917808219178,0.003898635477582846,-0.046224961479198745,1.0051347881899872,0.007329999934881926,0.06735010538250208,0.16470008995383978,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,123,123,123,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.745,0.825938566552901,-0.03476283300844707,-0.1086286594761171,0.9549473684210525,0.02853989996947348,1.7498999368399382,4.524450050666928,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,123,123,123,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.745,0.8271186440677966,-0.0471085120207928,-0.06317411402157158,0.9399088271860754,0.01106759998947382,0.20219990983605385,0.46614999882876873,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,rf,baseline,123,123,123,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8382838283828383,-0.09649122807017552,-0.05161787365177195,0.8842105263157893,0.16106109996326268,2.852849895134568,4.7853500582277775,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,rf,reweighing,123,123,123,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.735,0.8262295081967214,-0.10883690708252114,-0.04314329738058553,0.8713023434498655,0.19173610000871122,2.5350500363856554,3.758349921554327,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,rf,dir,123,123,123,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.75,0.8366013071895425,-0.14749837556855105,-0.16795069337442226,0.8280954184021203,0.14830600004643202,4.389549954794347,7.465500035323203,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,rf,eqodds,123,123,123,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.839344262295082,-0.04385964912280704,-0.006163328197226536,0.9473684210526315,0.14786679996177554,3.079200047068298,4.557549953460693,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
german,lr,baseline,256,256,256,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.755,0.8316151202749141,-0.11988304093567248,-0.0007704160246533309,0.8458646616541354,0.0042375000193715096,0.051299924962222576,0.1334500266239047,0,0,0,none,1,,0.6.1,1.5.2,german_extended_30seeds
german,lr,reweighing,256,256,256,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.745,0.8247422680412371,0.010071474983755713,0.06163328197226503,1.0133735979292493,0.005086800083518028,0.047900015488266945,0.13375002890825272,6,0,0,preprocessing,2,,0.6.1,1.5.2,german_extended_30seeds
german,lr,dir,256,256,256,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.715,0.8027681660899654,-0.1400259909031839,-0.1741140215716488,0.8185263157894737,0.025504100136458874,1.0888999095186591,3.3870000625029206,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,german_extended_30seeds
german,lr,eqodds,256,256,256,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.675,0.7636363636363637,-0.021117608836907054,0.1348228043143298,0.9688995215311005,0.008625300135463476,0.14815002214163542,0.36700000055134296,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,german_extended_30seeds
